sold time,time since transaction link,nft,nft link,price,usd,attributes,seller,seller link,buyer,buyer link
13 days ago,https://etherscan.io/tx/0x55c8883061b3899111705797c87bfdc213a8896cb95c7e6062255a29f1c4d1d0,a heart and a soul #101 ,https://cryptoslam.io/art-blocks/mint/158000101,0.12500 ETH,$469.46,,0x738c581921325e19fd701c983231a4c31c0a90a0,https://cryptoslam.io/owner/0x738c581921325e19fd701c983231a4c31c0a90a0,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0xf08b581b5439734aa8538260e0913117c9ec01146417dd3bde92b4023182c8ec,SpiroFlakes #697 ,https://cryptoslam.io/art-blocks/mint/136000697,0.13000 ETH,$485.68,,0x0c6b85d0721905f7ac7bed47cebe58c0b977677e,https://cryptoslam.io/owner/0x0c6b85d0721905f7ac7bed47cebe58c0b977677e,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x2f826cd1689992d1d879c98ab4feea4996dbbd08399e3bef13ffd755ca380b9f,Augmented Sequence #68 ,https://cryptoslam.io/art-blocks/mint/169000068,0.12000 ETH,$448.32,,0xa74d432e64cfe63e1252341ae7810c6f902595c7,https://cryptoslam.io/owner/0xa74d432e64cfe63e1252341ae7810c6f902595c7,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0xdd026fe425abea7a6b52f4b5f516c2d5a4a454699546f14ad406a5f9aa6fda70,Augmented Sequence #860 ,https://cryptoslam.io/art-blocks/mint/169000860,0.13000 ETH,$485.68,,0x18bd67edbcb6e1072c0ffdca2add8fec805246db,https://cryptoslam.io/owner/0x18bd67edbcb6e1072c0ffdca2add8fec805246db,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x182e798145229186ee370d9cced6e2c052870723d1e8207abc6c2ccec34ced76,a heart and a soul #341 ,https://cryptoslam.io/art-blocks/mint/158000341,0.12500 ETH,$467.00,,0x25cf64beb03949c6283e719a67434ec64a564534,https://cryptoslam.io/owner/0x25cf64beb03949c6283e719a67434ec64a564534,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x00d3bd53423c965ced55223f0fb8040bae8b2f7baa334ff1552e30c2c9be7310,SpiroFlakes #584 ,https://cryptoslam.io/art-blocks/mint/136000584,0.13000 ETH,$485.68,,0x8f8e214333dc4b7d5763ccd290fd1116c34d92b0,https://cryptoslam.io/owner/0x8f8e214333dc4b7d5763ccd290fd1116c34d92b0,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x34301e97da5367d0efcad31b3402b30863efc0dbe95a0b0fac96ef1d92326d51,Unknown Signals #840 ,https://cryptoslam.io/art-blocks/mint/142000840,0.13880 ETH,$518.56,"Type: Ghost, Palette: Bubblegum, Wave pow: 2, Wave multiplier: 0, Wave shift: 0.1756122, Lifeform: Lines, Lifeform position: Side, Lifeform dots: Yes, Lifeform capsule: Rectangle, Symbol: Monad",0xe54c65316e8967c25c1357773b5e85bc063b7efd,https://cryptoslam.io/owner/0xe54c65316e8967c25c1357773b5e85bc063b7efd,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0xca3ad61389b5dd27d1bc1a4ccf40a6aec58f30c7144f68663632f63b79c203c1,Augmented Sequence #908 ,https://cryptoslam.io/art-blocks/mint/169000908,0.13880 ETH,$518.56,,0x18a4ebeea97aaf45d7de8c248b09ab9c25bc1906,https://cryptoslam.io/owner/0x18a4ebeea97aaf45d7de8c248b09ab9c25bc1906,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x3c760e3adf3d76ff723b842b0cc379c7eeabe71b0cdf86c9d55f352e799f89be,Moments #696 ,https://cryptoslam.io/art-blocks/mint/156000696,0.12500 ETH,$467.00,,0x46ae5b30edfde7a6f83285f8ae98a2e97c9445dd,https://cryptoslam.io/owner/0x46ae5b30edfde7a6f83285f8ae98a2e97c9445dd,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x0dba891d8f550ca8ea0d001ee9c7236d864fcf1f3c9bfc98734b18a6fbda4d07,spawn #547 ,https://cryptoslam.io/art-blocks/mint/161000547,0.09420 ETH,$351.93,,0x982e09ebd5bf6f4f9cce5d0c84514fb96d91c5f9,https://cryptoslam.io/owner/0x982e09ebd5bf6f4f9cce5d0c84514fb96d91c5f9,0x57998a1f72f97bd76c5d01f940695da1f95297cb,https://cryptoslam.io/owner/0x57998a1f72f97bd76c5d01f940695da1f95297cb
